"","datetime","country","shape","city"
"161",NA,"gb","formation","newtown (uk/wales)"
"162",NA,"us","unknown","lewisburg"
"163",NA,"us","other","north miami beach"
"164",NA,"us","light","east wenatchee"
"165",NA,"us","light","hendersonville"
"166",NA,"us","disk","brainerd"
"167",NA,"us","disk","franklin"
"168",NA,"us","diamond","pennington"
"169",NA,"us","triangle","san francisco"
"170",NA,"us","unknown","blairsville"
"171",NA,"us","light","savannah"
"172",NA,"us","triangle","waynesboro"
"173",NA,NA,"fireball","unsure"
"174",NA,"us","other","bray"
"175",NA,"gb","formation","plymouth (devonshire) (uk/england)"
"176",NA,"us","light","waycross"
"177",NA,"us","disk","wolfforth"
"178",NA,"us","unknown","lyndhurst"
"179",NA,"us","triangle","knik"
"180",NA,"us","light","lebanon"
"181",NA,"us","changing","stockbridge"
"182",NA,"us","changing","denver"
"183",NA,"us","sphere","jacksonville"
"184",NA,"us","circle","bakersfield"
"185",NA,"us","oval","indio"
"186",NA,"us","triangle","owego"
"187",NA,"us","circle","downingtown"
"188",NA,"us","flash","austin"
"189",NA,"us","sphere","starrsville (covington)"
"190",NA,NA,"fireball","west palm beach florida"
"191",NA,"us","unknown","conyers"
"192",NA,"us","unknown","vero beach"
"193",NA,"us","oval","jensen beach"
"194",NA,"us","formation","houston"
"195",NA,"us","light","duluth"
"196",NA,"us","circle","fleming"
"197",NA,"us","unknown","grove city"
"198",NA,"us","other","van alstyne"
"199",NA,"us","triangle","northglenn"
"200",NA,NA,"light","stord (norway)"
"201",NA,"ca","other","london (canada)"
"202",NA,"us","light","north branch"
"203",NA,"us","circle","slingerlands"
"204",NA,"us","disk","carlin"
"205",NA,"us","formation","evansville"
"206",NA,"us","oval","albany"
"207",NA,"us","flash","amarillo (hwy. 140)"
"208",NA,"us","triangle","fremont"
"209",NA,"us","triangle","yuma"
"210",NA,"us","light","south bend"
"211",NA,"us","formation","la crescent"
"212",NA,NA,"unknown","moon township"
"213",NA,"us","oval","philadelphia"
"214",NA,"us","light","seattle"
"215",NA,"us","light","pueblo"
"216",NA,"us","oval","cincinnati"
"217",NA,"us","disk","san diego"
"218",NA,"us","circle","madison"
"219",NA,"us","sphere","coldwater"
"220",NA,NA,"rectangle","greenland"
"221",NA,"us","egg","crested butte"
"222",NA,"us","unknown","tulsa"
"223",NA,"us","unknown","eagar"
"224",NA,"us","unknown","suffolk"
"225",NA,"us","light","anaheim"
"226",NA,"us","light","wilmington"
"227",NA,"us","disk","leesburg"
"228",NA,"us","other","thief river falls"
"229",NA,"us","changing","michigan city"
"230",NA,"us","light","cupertino"
"231",NA,"us","light","orchard park"
"232",NA,"us","circle","harrisburg"
"233",NA,"us","circle","euclid"
"234",NA,"us","formation","starr"
"235",NA,"us","flash","leominster"
"236",NA,"us","light","greenwich"
"237",NA,"us","light","north charleston"
"238",NA,NA,"triangle","san francisco airport"
"239",NA,"us","cigar","springfield"
